Identificador,Nome da Planta,Região,Nome Científico,Descrição,Altura Média,pH Ideal do Solo,Resistência contra Pragas
52,Lírio-da-Paz,América do Sul,Spathiphyllum in wallisii,Folhas verdes brilhantes e flores brancas,0.5,6.0,4
53,Cúrcuma,Regiões tropicais e subtropicais,Curcuma longa,Raízes subterrâneas de cor alaranjada intensa,0.75,6.5,6
54,Orquídea Oncidium,Sudeste Asiático,Oncidium spp,Se assemelham a borboletas,0.6,6.5,6.5
55,Peperômia Rosso,América do Sul,Peperomia caperata,Folhas vermelhas e textura aveludada,0.2,6.0,4.3
56,Samambaia,Regiões tropicais e subtropicais,Polypodiopsida,Abrange várias espécies de samambaias,6.5,5,7
57,Dracena,África e Ásia,Dracaena spp,Folhas longas e estreitas dispostas em roseta,0.8,6.5,3.8
58,Orquídea Zygopetalum,Sul e Sudeste do Brasil,Zygopetalum spp,Perfumadas em tons de verde e roxo,0.6,6.0,5
59,Calêndula,Regiões Temperadas,Calendula officinalis,Pétalas alaranjadas e amarelas,0.4,6.5,7.9
60,Ranúnculo,Regiões temperadas e subtropicais,Ranunculus spp,Flores vibrantes e folhagem ornamental,0.4,6.75,6
61,Amaranto,Regiões de altitude,Amaranthus spp,Espécies anuais ou perenes.,2,6.75,7.2
62,Rosa Laranja,América do Norte,Rosa laranja spp,Simboliza entusiasmo e energia,0.6,6.0,7.4
63,Ranúnculo,Ásia,Ranunculus tuberoso spp,Perenes e anuais,0.48,6.75,7
64,Orquídea negra Phalaenopsis,Sudeste Asiático,Phalaenopsis negra spp,Flores delicadas e variedade de cores,0.4,6.5,4
65,Cosmos,Regiões quentes como o Brasil,Cosmos bipinnatus,Florescimento abundante e fácil cultivo,1.25,6.5,7.7
66,Lírio Martagão,América do Norte,Lilium martagon,Tons de rosa e roxo,1.2,6.0,6.5
67,Camélia,Ásia,Camellia spp,Várias cores,2.0,6.5,4
68,Bromélia Tillandsia,América do Sul,Tillandsia spp,Absorve nutrientes do ar,0.3,5.5,5
69,Clorofito,Africa do Sul,Chlorophytum comosum,Perene popular por sua folhagem verde e pendente,0.4,6.75,6
70,Cyclamen,Regiões Mediterrâneas,Cyclamen spp,Flores delicadas em tons de rosa vermelho e branco,0.2,5.5,4
71,Angélica,América do norte e México,Angelica archangelica,Flores brancas ou esverdeadas em formato de umbela,1.57,6.75,7
72,Bromélia-Nidularium,América do Sul,Nidularium spp,Tons de vermelho e amarelo,0.4,6.5,8.4
73,Amarílis,Originária da América do Sul,Hippeastrum spp,Flores grandes e vistosas,0.75,6.5,7.3
74,Giesta,Regiões temperadas e subtropicais,Cytisus scoparius,Flores amarelas vibrantes,2,6.5,7.2
75,Orquídea Cattleya,América do Sul,Cattleya orq spp,Flores grandes e vistosas,0.8,6.0,5
76,Onze-Horas,América do Norte,Portulaca grandiflora,Flores vibrantes que se abrem durante o dia,0.1,5.5,4.6
77,Azaleia,Ásia,Azalea spp,Flores exuberantes em várias cores,0.8,6.5,6.5
78,Glicínia,Ásia,Wisteria spp,Flores em tons de violeta rosa e branco,5.0,6.0,4
79,Zínia,América do Norte,Zinnia spp,Flores vibrantes e coloridas,1,6.75,7
80,Antúrio,Regiões tropicais e subtropicais,Anthurium andraeanum,Flores exóticas e brácteas coloridas,0.6,6,6.5
81,Begônia Tuberosa,América do Sul,Begonia tuberosa,Flores dobradas e cores vibrantes,0.3,6.0,4.6
82,Avenca,América central e América do norte,Adiantum spp,Aparência semelhante a penas,3.5,6.5,5.5
83,Cravo,Regiões Mediterrâneas,Dianthus caryophyllus,Pétalas texturizadas em várias cores,0.5,6.5,7.8
84,Campainha,Ásia,Platycodon grandiflorus,Flores em forma de sino,4.5,6.5,7.5
85,Hera,Africa Ásia e Europa,Hedera helix,FOlhas verdes brilhantes em forma de coração.,3,6.7,7.5
86,Jasmim,Ásia e África,Jasminum spp,Flores brancas e aroma doce e suave,0.8,6.5,6.3
87,Orquídea Encyclia,América Central e América do Sul,Encyclia spp,Assemelham a borboletas,0.6,6.5,6
88,Cinerária,Regiões de clima temperado e subtropical,Senecio cruentus,Flores coloridas e folhagem decorativa.,0.4,6.75,7
89,Scabiosa,Europa Ásia e Africa,Scabiosa spp,Conhecido por suas flores delicadas e elegantes.,0.6,6.75,7
90,Flox,América do Norte,Phlox spp,Uma planta perene com flores coloridas e fragrantes,0.5,6.5,7.2
91,Alecrim,Regiões Mediterrâneas,Rosmarinus officinalis,Folhas estreitas e flores azuis,0.8,6.0,4.1
92,Vinca,Madagascar,Catharanthus roseus,Folhagem densa e florescimento abundantes,0.25,6.5,7
93,Dália,México,Dahlia spp,Flores exuberantes e variadas.,1.5,6.7,7.6
94,Gipsófila,Europa,Gypsophila paniculata,Perene conhecida por suas pequenas flores brancas e delicadas,0.8,6.75,7.5
95,Azaléia Japonesa,Ásia,Rhododendron japonicum,Abundantes e brilhantes em várias cores,2.0,6.5,6.3
96,Estrela-de-Belém,África,Ornithogalum spp,Flores brancas em forma de estrela,0.3,5.5,5.2
97,Lantana,Regiões mais quentes da América do Sul,Lantana camara,Flores coloridas e atrativas para borboletas e abelhas,0.26,6.75,7.5
98,Heliotrópio,Região mediterrânea,Heliotropium arborescens,Flores pequenas e perfumadas,0.85,6.8,8.5
99,Malmequer,Ilhas Canárias e região Mediterrânea,Tagetes patula,Flores coloridas e resistentes.,0.22,6.75,8
100,Rosa Negra,Desconhecida,Rosa negra spp,Uma rosa de cor negra misteriosa e simbólica,0.6,6.0,7.3
